ENTIDAD_ASCII,COALICION,FORMULA,GRUPO_PARLAMENTARIO,PARTIDO_ORIGEN
AGUASCALIENTE S,POR MÉXICO AL FRENTE,1,PAN,PAN
AGUASCALIENTE S,POR MÉXICO AL FRENTE,2,PAN,PAN
BAJA CALIFORNIA,POR MÉXICO AL FRENTE,1,PAN,PAN
BAJA CALIFORNIA,POR MÉXICO AL FRENTE,2,PAN,PAN
BAJA CALIFORNIA SUR,POR MÉXICO AL FRENTE,1,PAN,PAN
BAJA CALIFORNIA SUR,POR MÉXICO AL FRENTE,2,PAN,PAN
CAMPECHE,POR MÉXICO AL FRENTE,1,PAN,PAN
CAMPECHE,POR MÉXICO AL FRENTE,2,PAN,PAN
CHIAPAS,POR MÉXICO AL FRENTE,2,PRD,PRD
CHIHUAHUA,POR MÉXICO AL FRENTE,1,PAN,PAN
CHIHUAHUA,POR MÉXICO AL FRENTE,2,PAN,PAN
CIUDAD DE MÉXICO,POR MÉXICO AL FRENTE,1,PRD,PRD
CIUDAD DE MÉXICO,POR MÉXICO AL FRENTE,2,PAN,PAN
COAHUILA,POR MÉXICO AL FRENTE,1,PAN,PAN
COAHUILA,POR MÉXICO AL FRENTE,2,PAN,PAN
COLIMA,POR MÉXICO AL FRENTE,2,PAN,PAN
DURANGO,POR MÉXICO AL FRENTE,2,PAN,PAN
GUANAJUATO,POR MÉXICO AL FRENTE,1,PAN,PAN
GUANAJUATO,POR MÉXICO AL FRENTE,2,PAN,PAN
GUERRERO,POR MÉXICO AL FRENTE,1,PRD,PRD
HIDALGO,POR MÉXICO AL FRENTE,1,PRD,PRD
MICHOACÁN,POR MÉXICO AL FRENTE,1,PRD,PRD
MICHOACÁN,POR MÉXICO AL FRENTE,2,PAN,PAN
MÉXICO,POR MÉXICO AL FRENTE,1,PRD,PRD
MÉXICO,POR MÉXICO AL FRENTE,2,PAN,PAN
NAYARIT,POR MÉXICO AL FRENTE,1,PAN,PAN
NAYARIT,POR MÉXICO AL FRENTE,2,PRD,PRD
OAXACA,POR MÉXICO AL FRENTE,1,PRD,PRD
OAXACA,POR MÉXICO AL FRENTE,2,PAN,PAN
PUEBLA,POR MÉXICO AL FRENTE,1,PAN,PAN
PUEBLA,POR MÉXICO AL FRENTE,2,PAN,PAN
QUERÉTARO,POR MÉXICO AL FRENTE,1,PAN,PAN
QUERÉTARO,POR MÉXICO AL FRENTE,2,PAN,PAN
QUINTANA ROO,POR MÉXICO AL FRENTE,1,PAN,PAN
QUINTANA ROO,POR MÉXICO AL FRENTE,2,PRD,PRD
SAN LUIS POTOSÍ,POR MÉXICO AL FRENTE,1,PRD,PRD
SAN LUIS POTOSÍ,POR MÉXICO AL FRENTE,2,PAN,PAN
SINALOA,POR MÉXICO AL FRENTE,2,PAN,PAN
SONORA,POR MÉXICO AL FRENTE,1,PAN,PAN
TABASCO,POR MÉXICO AL FRENTE,1,PRD,PRD
TABASCO,POR MÉXICO AL FRENTE,2,PRD,PRD
TAMAULIPAS,POR MÉXICO AL FRENTE,1,PAN,PAN
TAMAULIPAS,POR MÉXICO AL FRENTE,2,PAN,PAN
TLAXCALA,POR MÉXICO AL FRENTE,1,PRD,PRD
TLAXCALA,POR MÉXICO AL FRENTE,2,PAN,PAN
VERACRUZ,POR MÉXICO AL FRENTE,1,PAN,PAN
VERACRUZ,POR MÉXICO AL FRENTE,2,PRD,PRD
YUCATÁN,POR MÉXICO AL FRENTE,1,PAN,PAN
ZACATECAS,POR MÉXICO AL FRENTE,1,PRD,PRD
ZACATECAS,POR MÉXICO AL FRENTE,2,PRD,PRD
